date,count
2007-12-05,1306
2007-12-06,1240
2007-12-07,1305
2007-12-08,1075
2007-12-09,671
2007-12-10,744
2007-12-11,1168
2007-12-12,1361
2007-12-13,814
2007-12-14,1202
2007-12-15,1073
2007-12-16,505
2007-12-17,618
2007-12-18,1148
2007-12-19,1155
2007-12-20,1153
2007-12-21,1048
2007-12-22,790
2007-12-23,586
2007-12-24,329
2007-12-25,214
2007-12-26,891
2007-12-27,1103
2007-12-28,1063
2007-12-29,853
2007-12-30,547
2007-12-31,353
2008-01-01,769
2008-01-02,1221
2008-01-03,1216
2008-01-04,1452
2008-01-05,1248
2008-01-06,718
2008-01-07,842
2008-01-08,1530
2008-01-09,1440
2008-01-10,1573
2008-01-11,1628
2008-01-12,1341
2008-01-13,894
2008-01-14,899
2008-01-15,1332
2008-01-16,1443
2008-01-17,1481
2008-01-18,1542
2008-01-19,1255
2008-01-20,683
2008-01-21,727
2008-01-22,1203
2008-01-23,1265
2008-01-24,1367
2008-01-25,1276
2008-01-26,1021
2008-01-27,818
2008-01-28,852
2008-01-29,1259
2008-01-30,1237
2008-01-31,1284
2008-02-01,1146
2008-02-02,1311
2008-02-03,663
2008-02-04,691
2008-02-05,1002
2008-02-06,1473
2008-02-07,1482
2008-02-08,1501
2008-02-09,1266
2008-02-10,821
2008-02-11,749
2008-02-12,993
2008-02-13,1134
2008-02-14,1156
2008-02-15,1613
2008-02-16,1278
2008-02-17,770
2008-02-18,823
2008-02-19,1360
2008-02-20,1375
2008-02-21,1370
2008-02-22,1010
2008-02-23,1203
2008-02-24,770
2008-02-25,867
2008-02-26,1234
2008-02-27,1492
2008-02-28,1273
2008-02-29,1322
2008-03-01,1128
2008-03-02,798
2008-03-03,963
2008-03-04,1535
2008-03-05,1643
2008-03-06,1619
2008-03-07,1497
2008-03-08,1146
2008-03-09,669
2008-03-10,843
2008-03-11,1416
2008-03-12,1586
2008-03-13,1515
2008-03-14,1202
2008-03-15,1220
2008-03-16,760
2008-03-17,758
2008-03-18,1343
2008-03-19,1224
2008-03-20,1386
2008-03-21,1376
2008-03-22,1158
2008-03-23,571
2008-03-24,771
2008-03-25,1356
2008-03-26,1505
2008-03-27,1456
2008-03-28,1373
2008-03-29,1184
2008-03-30,696
2008-03-31,821
2008-04-01,1276
2008-04-02,1576
2008-04-03,1421
2008-04-04,1331
2008-04-05,1167
2008-04-06,819
2008-04-07,867
2008-04-08,1319
2008-04-09,1462
2008-04-10,1445
2008-04-11,1484
2008-04-12,1187
2008-04-13,797
2008-04-14,988
2008-04-15,1366
2008-04-16,1424
2008-04-17,1224
2008-04-18,1137
2008-04-19,902
2008-04-20,689
2008-04-21,758
2008-04-22,1177
2008-04-23,1313
2008-04-24,1202
2008-04-25,1000
2008-04-26,963
2008-04-27,681
2008-04-28,638
2008-04-29,1146
2008-04-30,1232
2008-05-01,1317
2008-05-02,1275
2008-05-03,1055
2008-05-04,729
2008-05-05,794
2008-05-06,1386
2008-05-07,1543
2008-05-08,1420
2008-05-09,1133
2008-05-10,1030
2008-05-11,609
2008-05-12,859
2008-05-13,1346
2008-05-14,1440
2008-05-15,1413
2008-05-16,1157
2008-05-17,1076
2008-05-18,708
2008-05-19,848
2008-05-20,1107
2008-05-21,1368
2008-05-22,1305
2008-05-23,1302
2008-05-24,1027
2008-05-25,593
2008-05-26,522
2008-05-27,1274
2008-05-28,1456
2008-05-29,1307
2008-05-30,1220
2008-05-31,1034
2008-06-01,669
2008-06-02,919
2008-06-03,1480
2008-06-04,1533
2008-06-05,1499
2008-06-06,1504
2008-06-07,1020
2008-06-08,714
2008-06-09,706
2008-06-10,1142
2008-06-11,1389
2008-06-12,1256
2008-06-13,1400
2008-06-14,933
2008-06-15,520
2008-06-16,850
2008-06-17,1392
2008-06-18,1454
2008-06-19,1338
2008-06-20,1467
2008-06-21,1084
2008-06-22,654
2008-06-23,827
2008-06-24,1418
2008-06-25,1386
2008-06-26,1333
2008-06-27,1120
2008-06-28,854
2008-06-29,586
2008-06-30,674
2008-07-01,1280
2008-07-02,1343
2008-07-03,1169
2008-07-04,714
2008-07-05,936
2008-07-06,672
2008-07-07,711
2008-07-08,1126
2008-07-09,1232
2008-07-10,1209
2008-07-11,1262
2008-07-12,943
2008-07-13,631
2008-07-14,636
2008-07-15,1046
2008-07-16,1325
2008-07-17,1353
2008-07-18,1188
2008-07-19,971
2008-07-20,704
2008-07-21,756
2008-07-22,1205
2008-07-23,1406
2008-07-24,1165
2008-07-25,1160
2008-07-26,924
2008-07-27,661
2008-07-28,745
2008-07-29,1261
2008-07-30,1401
2008-07-31,1163
2008-08-01,1233
2008-08-02,1090
2008-08-03,734
2008-08-04,822
2008-08-05,1212
2008-08-06,1444
2008-08-07,1286
2008-08-08,1217
2008-08-09,1011
2008-08-10,854
2008-08-11,746
2008-08-12,1261
2008-08-13,1417
2008-08-14,1144
2008-08-15,1213
2008-08-16,1021
2008-08-17,654
2008-08-18,773
2008-08-19,1150
2008-08-20,1391
2008-08-21,1264
2008-08-22,1278
2008-08-23,936
2008-08-24,674
2008-08-25,711
2008-08-26,1192
2008-08-27,1257
2008-08-28,1200
2008-08-29,1125
2008-08-30,984
2008-08-31,607
2008-09-01,564
2008-09-02,1038
2008-09-03,1412
2008-09-04,1141
2008-09-05,1350
2008-09-06,814
2008-09-07,721
2008-09-08,788
2008-09-09,955
2008-09-10,1487
2008-09-11,1353
2008-09-12,1262
2008-09-13,1215
2008-09-14,840
2008-09-15,846
2008-09-16,1364
2008-09-17,1489
2008-09-18,1457
2008-09-19,1451
2008-09-20,1140
2008-09-21,719
2008-09-22,768
2008-09-23,1256
2008-09-24,1254
2008-09-25,1349
2008-09-26,1101
2008-09-27,1098
2008-09-28,737
2008-09-29,799
2008-09-30,1191
2008-10-01,1403
2008-10-02,1425
2008-10-03,1316
2008-10-04,1094
2008-10-05,737
2008-10-06,757
2008-10-07,1179
2008-10-08,1504
2008-10-09,1503
2008-10-10,1456
2008-10-11,1184
2008-10-12,722
2008-10-13,739
2008-10-14,1409
2008-10-15,1529
2008-10-16,1373
2008-10-17,1403
2008-10-18,1139
2008-10-19,696
2008-10-20,862
2008-10-21,1333
2008-10-22,1406
2008-10-23,1368
2008-10-24,1358
2008-10-25,1102
2008-10-26,686
2008-10-27,732
2008-10-28,921
2008-10-29,1345
2008-10-30,1215
2008-10-31,864
2008-11-01,1097
2008-11-02,670
2008-11-03,754
2008-11-04,901
2008-11-05,1274
2008-11-06,1262
2008-11-07,1517
2008-11-08,1134
2008-11-09,781
2008-11-10,810
2008-11-11,1308
2008-11-12,1358
2008-11-13,1011
2008-11-14,1258
2008-11-15,1106
2008-11-16,589
2008-11-17,786
2008-11-18,1317
2008-11-19,1356
2008-11-20,1287
2008-11-21,1485
2008-11-22,1100
2008-11-23,707
2008-11-24,804
2008-11-25,1211
2008-11-26,978
2008-11-27,294
2008-11-28,1052
2008-11-29,934
2008-11-30,565
2008-12-01,789
2008-12-02,1351
2008-12-03,1323
2008-12-04,1269
2008-12-05,1311
2008-12-06,1135
2008-12-07,617
2008-12-08,734
2008-12-09,1346
2008-12-10,1232
2008-12-11,1059
2008-12-12,1159
2008-12-13,1103
2008-12-14,644
2008-12-15,813
2008-12-16,1113
2008-12-17,1267
2008-12-18,1120
2008-12-19,810
2008-12-20,854
2008-12-21,539
2008-12-22,593
2008-12-23,889
2008-12-24,327
2008-12-25,216
2008-12-26,967
2008-12-27,1014
2008-12-28,664
2008-12-29,696
2008-12-30,1045
2008-12-31,502
2009-01-01,764
2009-01-02,1270
2009-01-03,1188
2009-01-04,731
2009-01-05,770
2009-01-06,1307
2009-01-07,1208
2009-01-08,1546
2009-01-09,1522
2009-01-10,991
2009-01-11,671
2009-01-12,956
2009-01-13,1607
2009-01-14,1700
2009-01-15,1432
2009-01-16,1497
2009-01-17,1228
2009-01-18,751
2009-01-19,707
2009-01-20,1269
2009-01-21,1473
2009-01-22,1534
2009-01-23,1569
2009-01-24,1241
2009-01-25,694
2009-01-26,949
2009-01-27,1312
2009-01-28,965
2009-01-29,1483
2009-01-30,1431
2009-01-31,1145
2009-02-01,647
2009-02-02,919
2009-02-03,1090
2009-02-04,1425
2009-02-05,1329
2009-02-06,1392
2009-02-07,1069
2009-02-08,814
2009-02-09,933
2009-02-10,1524
2009-02-11,1738
2009-02-12,1706
2009-02-13,1482
2009-02-14,1111
2009-02-15,827
2009-02-16,912
